month,neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
2020-12-01,Upper Lawrenceville (Pittsburgh),128,0,0
2020-12-01,Wall,2,0,0
2020-12-01,West Deer,160,0,0
2020-12-01,West Homestead,25,0,0
2021-12-01,Chateau (Pittsburgh),1,0,0
2022-02-01,Undefined (Pittsburgh),2,0,0
2022-05-01,Neville,1,0,0
2022-03-01,Esplen (Pittsburgh),2,0,0
2022-03-01,Glenfield,1,0,0
2022-03-01,Leet,1,0,0
2022-06-01,Bon Air (Pittsburgh),1,0,0
2022-05-01,Glenfield,2,0,0
2022-06-01,Point Breeze North (Pittsburgh),3,0,0
2022-06-01,Spring Garden (Pittsburgh),1,0,0
2022-06-01,North Shore (Pittsburgh),2,0,0
2022-07-01,Arlington Heights (Pittsburgh),1,0,0
2022-07-01,Blawnox,7,0,0
2022-08-01,Allegheny Center (Pittsburgh),5,0,0
2022-08-01,Pennsbury Village,1,0,0
2020-12-01,Aleppo,132,0,0
2020-12-01,Bell Acres,43,0,0
2020-12-01,Bradford Woods,13,0,0
2020-12-01,Central Business District (Pittsburgh),127,0,0
2020-12-01,Chalfant,6,0,0
